example,text
1,"The length of the ladder is the exact same in both questions, and we know the relation of the height of the ladder's in both question. We can plug in actual numbers to check the slope of both questions. I made the ladder length 10m, and x = 2m. We can use the pythagorean theorem to find the length of the wall to the bottom of the ladder. If we calculate the slope, we will see that AFTER is more than double the slope of BEFORE.





![13.png](https://usercontent.crowdmark.com/3919ecb3-b6d8-4af3-a161-d67f0a3ec4da.png)





"
0,"The height increased by 2 so the slope did as well, since it's rise increased and run decreased."
0,The slope went from x to 2x meaning that it was doubled. 
0,slope formula x/y if x is twice as large then the slope is twice as large
0,Without knowing the value of the length of the ladder along the floor it's impossible to know by what value exactly the slope changed.
0,"im not sure, actually"
0,"=risex2/runÃ·2





=1x2/1Ã·2





=2/0.5





=4











1:4 ratio





This means that the slope increases by more than 2"
0,You donâ€™t know the bottom length so you are unable to tell the slope 
0,"The height determines that the ladder doubles, as it is labeled â€œ2zâ€ which means the height has been doubled. "
0,I donâ€™t think there is enough information in the graph to see if the slope of the ladder is exactly doubled because the x axis is not labelled with any numbers so we donâ€™t know if the slop is actually half. In the graph you can see that the y-intercept is doubled.
0,"Looking at both the graphs, you can tell the approximate slope of each one by thinking about rise/run. In the first graph, the run is more than the rise which is why it isnâ€™t as steep but in graph 2 the rise is greater than the run so itâ€™s more steep. This means that the slope in graph 2 will be more than it was before. "
1,"1. Let L represent the length of the ladder, and s represent the horizontal line from the corner to where the ladder touches the ground.





before: 





s=âˆš(L^2 - x^2)





after: 





s=âˆš(L^2 - 4x^2)





2. Therefore the slopes are as follows:





mBefore = x/(âˆš(L^2 - x^2))





mAfter = 2x/(âˆš(L^2 - 4x^2))





3. Simplify mA to the following (divide out 2)





mA= x/(âˆš((L^2)/4)-x)





4. Find ratio of slopes mA/mB. Simply to the following:





ratio= (âˆšL^2 - x^2)/(âˆš(L^2)/4 - x^2))





5. For the above function, there are two limits. 0, and L/2 (L/2 is because if it was more than  that, the height would be higher than the length of the ladder, which is impossible.)





As x approaches 0, ratio approaches 2. 





âˆš(L^2 - 0)/âˆš(L^2/4 -x^2) = L/(L/2) = 2





As x approaches L/2, ratio approaches positive infinity, because the denominator would be close to 0.





Therefore, the range of the ratio of the slope is between 2 and positive infinity, so the slope of the ladder is more than twice it was before. "
0,"The scale factor is a constant, because itâ€™s continuously being multiplied by two."
0,"using the sin relation, sinðœƒ=opposite/hypotenuse, where x is the opposite and h is the hypotenuse, for the first position sinðœƒ=x/h, and for the second sinðœƒ= 2x/h. H is the same for both of them since it is the same ladder, therefore the angle of the ladder will be double what it was before and so will the slope. "
1,"When you increase the slope of the ladder, if you only moved the top (and didnâ€™t decrease the distance between the bottom of the ladder and the wall), the final result would have a slope of double the height. (This obviously makes no sense because the ladder couldnâ€™t reach that far). So, instead, what you do is think about the fact that the height does indeed increase on the vertical wall, but the base of the ladder also gets closer to the corner of the wall. This would then potentially imply that the slope is double the original value. The run of the slope becomes decreased, while the rise is increased. "
0,"According to Pythagorasâ€™ theorem, it is more than twice."
1,"We know that m  m=rise/run 











Now itâ€™s 2x the original rise, and 1/2 the original run. 











The new m would be (2*rise)/ (smaller run)"
